reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
41a10f71-f94f-4475-9c43-1044bb3ab8ad,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sekarang semakin jelek aja ini aplikasi, csnya pakek ai wong tak karuan",1,0,2.0.0,2025-07-10 15:59:20,"Halo, Kak. Mohon maaf atas ketidaknyamanannya. Mohon dapat menginformasikan kendala yang Kakak alami melalui chat bantuan di aplikasi Flip ya. Tim kami siap membantu.",2025-07-10 16:59:32,2.0.0
65561641-664c-4668-bbf0-00d16b245e84,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semoga flip semakin jaya,5,0,3.37.0,2025-07-10 15:45:15,,,3.37.0
8aa97447-61a7-4704-b5c0-f38f6455c474,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mau transfer top up belanja online+Cashback dll gampang semua ada di flip, flip emang rekomen banget. pelajari: SKB nya",5,0,3.37.1,2025-07-10 15:11:08,,,3.37.1
cd8fada2-1466-4fe1-b98f-400fa32b92ac,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi flip lebih mempermudah kita untuk bertransaksi dengan banyak bank yg berbeda... Makasih flip 🙏🙏,5,0,3.37.1,2025-07-10 14:54:45,,,3.37.1
961bba12-4e14-4b49-b832-6417589c0aa8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"edit dulu baru,aja bisa krna masuk pake akun lama semoga aja gk diganti lagi",4,0,3.37.1,2025-07-10 14:24:42,"Halo, Kak. Mohon maaf atas ketidaknyamanannya. Mohon dapat menginformasikan kendala yang Kakak alami melalui chat bantuan di aplikasi Flip ya. Tim kami siap membantu.",2025-07-10 10:46:48,3.37.1
f3e52fe4-ebdf-4efd-a305-b40eda698462,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,upgrade ke super flip malah saldo ga bisa dpakai.... ga kelihatan... ga bs buat trf... nyebelin bgt flip... dlu seneng bgt pakai flip.. skrg no recomended,1,0,,2025-07-10 14:06:12,"Halo, Kak. Mohon maaf atas ketidaknyamanannya. Mohon dapat menginformasikan kendala yang Kakak alami melalui chat bantuan di aplikasi Flip ya. Tim kami siap membantu.",2025-07-10 14:58:35,
dd23745f-69b9-474c-b16c-cc1212f6197d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"setelah foto KTP untuk verifikasi akun, aplikasi seperti bug tidak merespon sentuhan jadi tidak bisa melanjutkan untuk tahapan selanjutnya. mohon di perbaiki",3,0,,2025-07-10 13:50:57,"Halo, Kak Liesna Anggrain.

Mohon maaf atas ketidaknyamanannya. Mohon dapat menginformasikan kendala verifikasi akun yang Kakak alami melalui chat bantuan di aplikasi Flip ya. Tim kami siap membantu.",2025-07-10 14:10:34,
3b6339a1-68ac-4524-b2a4-d7f8422b337b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Alhamdulillah Transfer Lebih Mudah dan Cepat. Terimakasih,5,0,3.37.1,2025-07-10 10:21:48,,,3.37.1
6ff142ba-d242-41f5-8bb1-aeb92c5e6713,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,3.37.1,2025-07-10 09:01:55,,,3.37.1
72126b0a-bf2d-477d-becd-0e653be4328c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya transfer ke bank tujuan BNI pakai saldo Flip kemarin sampai sekarang status nya masih diproses terus, pengajuan refund beberapa kali di tolak terus ini aplikasi kok jadi kaya gini duit saya di kemanain?",1,0,3.37.1,2025-07-10 08:46:48,"Halo, Kak. Mohon maaf atas ketidaknyamanannya. Mohon dapat menginformasikan kendala transaksi yang Kakak alami melalui chat bantuan di aplikasi Flip ya. Tim kami siap membantu.",2025-07-10 10:50:33,3.37.1
